author,content,time,sentiment,principal
cutesoda,甚至賴清德和柯文哲都可以侯友宜笑死,05/17,0.5884363227673496,柯文哲
LeeSeDol,柯文哲去美國公開演講是用中文,05/17,0.9855186044852556,柯文哲
cutesoda,當年柯文哲網路聲量不是第一就是第二,05/17,0.260132229009722,柯文哲
wilson3435,藍粉要知道現在的敵人是柯文哲才對,05/17,0.7880098244745414,柯文哲
herz112358,我大二身邊也不少是支持柯文哲,05/17,0.7602803306739938,柯文哲
financial911,柯文哲是可以省錢啦但美化環境什,05/17,0.8600754155851014,柯文哲
wilson3435,時力加油別被柯文哲打敗,05/17,0.8892620000387214,柯文哲
takizawa5566,意承認柯文哲有一定影響力的人,05/17,0.8928423878059427,柯文哲
takizawa5566,柯文哲不是國民黨的如果連內參民,05/17,0.4249807783922547,柯文哲
takizawa5566,可是郭台銘可以邊緣化柯文哲,05/17,0.5848604832386313,柯文哲
taso5566,柯文哲應該幫助賴清德順利當選,05/17,0.6410295659732259,柯文哲
hgt,柯文哲也可以那你就去投呀,05/17,0.4442802392433495,柯文哲
yeah8466,柯文哲如果總統得票率才4%的話我隨便你,05/17,0.045880237283022374,柯文哲
wilson3435,我藍的柯吸的是藍票柯文哲就是下,05/17,0.445575566747231,柯文哲
yisdl,柯文哲沒有吸藍票藍色怎麼會剩下25%,05/17,0.01949338696954528,柯文哲
wilson3435,其實柯文哲吸什麼票是個很大的問題,05/17,0.007917414153593927,柯文哲
wilson3435,我觀察到的是柯文哲吸的是藍二代的,05/17,0.622800406199847,柯文哲
wilson3435,柯文哲那邊所以變成這些人可以說藍,05/17,0.18293486868811326,柯文哲
victorly,那選柯文哲就不會有這問題了,05/17,0.0024060821717415415,柯文哲
kymco9999,開啟打柯模式邊緣化柯文哲製造泛藍,05/17,0.44124435857472033,柯文哲
kymco9999,討厭柯文哲,05/17,0.5104955049073487,柯文哲
kymco9999,邊緣柯文哲,05/17,0.634788169957728,柯文哲
yisdl,柯文哲打侯是必然的,05/17,0.69849953057012,柯文哲
saygogo,柯文哲沒有辦法從賴清德身上拿到票但是,05/17,0.8101199993442705,柯文哲
kymco9999,33不是柯文哲民眾黨就是科一人魅力,05/17,0.9629706556000166,柯文哲
kymco9999,所以國民黨現在要第二階段求柯文哲整,05/17,0.9352922109148523,柯文哲
kymco9999,新竹市長高虹安應該會支持柯文哲吧,05/17,0.6143016671749505,柯文哲
kymco9999,假如國民黨勸退不了柯文哲侯友宜民,05/17,0.9777432243505831,柯文哲
kymco9999,所以國民黨趕快跟柯文哲談談吧拿個,05/17,0.6491858966211287,柯文哲
bread220,是富邦先拿中職冠軍還是柯文哲先當總統,05/17,0.11686332656579912,柯文哲
kymco9999,找安應該很難挺侯侯除非柯文哲不選,05/17,0.6333030138012706,柯文哲
kymco9999,當年民進黨放棄臺北市讓給柯文哲就是,05/17,0.048833156041590886,柯文哲
kymco9999,考量柯文哲魅力吸引年輕人某老綠男,05/17,0.9897454830482102,柯文哲
kymco9999,民黨合作幹嘛除非柯文哲對總統沒興,05/17,0.14443732744139204,柯文哲
kymco9999,而且目前柯文哲的民調也不算弱,05/17,0.4814364843000969,柯文哲
josh79103,台灣第一人柯文哲,05/17,0.3194860222302952,柯文哲
kymco9999,邊緣化柯文哲也好讓國民黨國會實質,05/17,0.9051951685153532,柯文哲
kymco9999,對民進黨也想邊緣柯文哲不然三黨不過,05/17,0.16387305645726047,柯文哲
kymco9999,問題是柯文哲邊緣得了嗎有問題,05/17,0.0012278382808045274,柯文哲
kymco9999,不讓立委就是讓柯文哲當副總統國親,05/17,0.20720646917271668,柯文哲
kymco9999,如果真的柯文哲實力跟侯友宜差不多,05/17,0.6381271249819225,柯文哲
kymco9999,柯文哲臺北市長不也如此,05/17,0.12282346962174662,柯文哲
sakula0616,垃圾柯文哲就是政客4%黨還作夢歐,05/17,0.17246180795848065,柯文哲
chong17,民眾黨是為了柯文哲選總統而成立的柯文,05/17,0.28267499781408667,柯文哲
coeXist,此時此刻大家可以接受柯文哲是墨綠了吧,05/17,0.9408841443988012,柯文哲
sean5236921,柯文哲是藍營養大的你那邊幾,05/17,0.7956506669572866,柯文哲
wilson3435,我覺得柯文哲再做大對民進黨也不好啦,05/17,0.40375925953130853,柯文哲
wilson3435,而已打垮柯文哲需要藍粉一起努力,05/17,0.7805807840423359,柯文哲
webster1112,此時此刻大家可以接受柯文哲是墨綠了,05/17,0.9408841443988012,柯文哲
wilson3435,柯文哲真的是綠營臥底那應該可以寫,05/17,0.03261935164502772,柯文哲
randykaku,現在柯文哲要準備出招搶國民黨的票了,05/17,0.04863791056561262,柯文哲
wilson3435,柯文哲挖破國民黨的老巢了我身邊太,05/17,0.6116073504117603,柯文哲
osalucard,只有國民黨內參民調柯文哲超過25%,05/17,0.7522499823991857,柯文哲
s6210603,一定要禮讓柯文哲,05/17,0.35381499081050194,柯文哲
s6210603,柯文哲本來就沒在管的他只在意白營的,05/17,0.37298842282975175,柯文哲
wilson3435,柯文哲式台灣最大的毒瘤綠粉真的先,05/17,0.23148538217364334,柯文哲
skyexers,雖然是慘輸柯文哲www,05/17,0.46213919844835216,柯文哲
skyexers,反正只要柯文哲選國民黨派誰都一樣啦,05/17,0.17176794056503397,柯文哲
skyexers,除了派一個可以整合柯文哲的以外,05/17,0.05493009344017297,柯文哲
wilson3435,柯文哲吃素的整合就是利益問題,05/17,0.007939649787900738,柯文哲
skyexers,鍋可以深夜進入柯文哲家耶XDD,05/17,0.229844779783557,柯文哲
wilson3435,柯文哲要的是郭台銘去民眾黨郭台銘,05/17,0.8298752316337006,柯文哲
wilson3435,變國民黨柯文哲理都不理啦,05/17,0.15790677267606534,柯文哲
wilson3435,笑死上次誰採訪柯文哲柯文哲說郭,05/17,0.47660710136303586,柯文哲
wilson3435,柯文哲親口講的,05/17,0.7577898700610577,柯文哲
skyexers,那你猴子要給柯文哲什麼利益倒是先說啊,05/17,0.2351735284427141,柯文哲
wilson3435,民黨的資源給柯文哲談合作無非就是,05/17,0.08467542293797825,柯文哲
skyexers,柯文哲要院長跟立委XDDDDD,05/17,0.45808188760132873,柯文哲
skyexers,猴粉怎麼會天真的以為柯文哲要院長立委,05/17,0.13332667847759383,柯文哲
wilson3435,柯文哲還是侯友宜挺的住不被抹紅,05/17,0.7763666417015912,柯文哲
brella,柯文哲會去舔建商,05/17,0.3815121646223616,柯文哲
chean1020,唯一支持柯文哲,05/17,0.6563651907793474,柯文哲
meredith001,瑜柯文哲,05/17,0.9292196671524158,柯文哲
taso5566,柯文哲可以拿到中間票避免票流到dpp,05/17,0.4105688509283104,柯文哲
taso5566,如果柯文哲不選的賴可以拿到800萬票,05/17,0.12465192689157412,柯文哲
taso5566,你以為賴是姚文智嗎所以柯文哲就當選了,05/17,0.05456515418158525,柯文哲
taso5566,只是黃珊珊以為自己是柯文哲,05/17,0.17187772530786538,柯文哲
Hina,除非啦唯一可能性KMT能搞定柯文哲啦,05/17,0.3605360944259757,柯文哲
sdolphinyo,柯文哲好笑在哪都別人講的阿,05/17,0.6035172650776769,柯文哲
nosheep,還有說柯文哲要去選高雄市長的智障咧,05/17,0.02449220104470573,柯文哲
kymco9999,前提是2024賴清德或柯文哲贏,05/17,0.6933117345636719,柯文哲
julianscorpi,不然你要投柯文哲嗎,05/17,0.24013595606961624,柯文哲
dragonjj,拜託不要讓柯文哲當總統,05/17,0.23647014838743818,柯文哲
signm,柯文哲也不可能要他還有立委要顧,05/17,0.7862199267122958,柯文哲
